home_encoded,away_encoded,avg_FTHG,last_3_avg_FTHG,avg_FTAG,last_3_avg_FTAG,avg_HTHG,last_3_avg_HTHG,avg_HTAG,last_3_avg_HTAG,avg_HS,last_3_avg_HS,avg_AS,last_3_avg_AS,avg_HST,last_3_avg_HST,avg_AST,last_3_avg_AST,avg_HC,last_3_avg_HC,avg_AC,last_3_avg_AC,avg_HTR,last_3_avg_HTR,pnts_lst_5,pnts_lst_3,pnts_lst_game,dif_Overall,dif_Physical,dif_Defending,dif_Pace,dif_Shooting,dif_Passing,dif_Dribbling,dif_GK_diving
0,28,1.173913043,1.666666667,0.935483871,0,0.565217391,1.333333333,0.419354839,0,10,9.666666667,8.548387097,4.333333333,3.304347826,2.666666667,2.790322581,1.666666667,4.565217391,4.666666667,4.048387097,4,1.260869565,0.666666667,10,4,0,7.54545455,1.46666667,7.73333333,2.8,7.6,4.8,5.4,4
1,28,1.611111111,1.666666667,0.935483871,0,0.833333333,0.666666667,0.419354839,0,15.33333333,13.66666667,8.548387097,4.333333333,6,4.333333333,2.790322581,1.666666667,5.722222222,4.333333333,4.048387097,4,1.5,1.666666667,7,6,3,5.36363637,3.41666667,0.33333333,0.7,4.5,3.8,3.2,7
2,28,2,2,0.935483871,0,1,1,0.419354839,0,11,11,8.548387097,4.333333333,4,4,2.790322581,1.666666667,3,3,4.048387097,4,2,2,1,1,1,5.81818182,2.06666667,7.53333333,16.2,8.2,6.8,9.4,2
3,28,2.135135135,3.666666667,0.935483871,0,1.040540541,1.666666667,0.419354839,0,17.74324324,18.66666667,8.548387097,4.333333333,6.202702703,6,2.790322581,1.666666667,6.689189189,7.666666667,4.048387097,4,1.297297297,1,13,9,3,5.90909091,-2.83333333,0.83333333,10.1,8.9,4.2,6,5
4,28,1.893939394,1.666666667,0.935483871,0,0.924242424,0.666666667,0.419354839,0,16.68181818,17,8.548387097,4.333333333,6.166666667,5.333333333,2.790322581,1.666666667,6.560606061,4.666666667,4.048387097,4,1.378787879,1.333333333,9,5,1,1.81818182,1.46666667,-0.46666667,2,8.2,3,1.7,-1
6,28,2.211267606,2.333333333,0.935483871,0,0.929577465,1.666666667,0.419354839,0,16.52112676,11.66666667,8.548387097,4.333333333,6.338028169,5,2.790322581,1.666666667,7.225352113,4,4.048387097,4,1.197183099,1,13,9,3,5.45454546,5.16666667,2.58333333,10.8,6.8,5.7,6,3
7,28,2.552238806,3,0.935483871,0,0.985074627,1,0.419354839,0,17.79104478,15.33333333,8.548387097,4.333333333,6.432835821,5.333333333,2.790322581,1.666666667,7.940298507,6.333333333,4.048387097,4,1.194029851,1.333333333,15,9,3,2.54545455,-3.5,-0.66666667,2.5,3.1,2.1,1.3,1
8,28,1.411764706,1.333333333,0.935483871,0,0.705882353,1,0.419354839,0,12.85294118,9.333333333,8.548387097,4.333333333,4.088235294,3.666666667,2.790322581,1.666666667,5.632352941,4.333333333,4.048387097,4,1,1,8,6,3,3.45454546,-1.13333333,-1.06666667,1.8,9.1,5.3,4.4,1
12,28,1.756756757,2.333333333,0.935483871,0,0.918918919,0.666666667,0.419354839,0,14.27027027,12.66666667,8.548387097,4.333333333,5.027027027,5,2.790322581,1.666666667,6.324324324,5,4.048387097,4,1.297297297,0.666666667,11,9,3,-3.09090909,-3.33333333,-5.06666667,-5.2,1.6,-3.4,-3.3,-2
13,28,1.983870968,3,0.935483871,0,0.967741935,1.666666667,0.419354839,0,17.83870968,20.66666667,8.548387097,4.333333333,6.161290323,9,2.790322581,1.666666667,6.548387097,6.666666667,4.048387097,4,1.306451613,1,13,9,3,-3.72727272,-2.33333333,-5.46666667,-1.1,-0.1,-5.8,-5.2,-3
